"","Experiment","dX","Carbon.Pool","SE.amb","SE.elev","X.amb","X.elev","RR","n.amb","n.elev","SE.diff","sig_thresh","t","p","Myc","SD.elev","SD.amb","yi","vi","lower","upper"
"1","Aspen",244,"Ecosystem",745.627205780476,293.432888408917,10378.6,10622.6,0.0232378130601061,12,12,801.288206577384,1570.52488489167,0.304509660815076,0.766423213116501,"ECM",1016.48134267187,2582.9284078348,0.0232378130601061,0.0059244364278771,0.011625917661467,0.0348497084587452
"2","Aspen Birch ",889.299999999999,"Ecosystem",456.502880604274,732.105484202925,8381.2,9270.5,0.100846213222955,12,12,862.770722729973,1691.03061655075,1.0307489308238,0.324789811592862,"ECM",2536.08779027856,1581.3723660163,0.100846213222955,0.00920320796956535,0.082807925602607,0.118884500843303
"3","Aspen Maple",878.299999999999,"Ecosystem",451.336393391891,550.677391945593,8531.7,9410,0.0979843153503951,12,12,712.004304762268,1395.52843733404,1.23355995760904,0.24307554756228,"ECM",1907.60244285857,1563.4751293193,0.0979843153503951,0.00622316989387935,0.0857869023583916,0.110181728342399
"4","BioCON",76.0880000000004,"Ecosystem",27.8776756563384,30.2792387618976,1448.102,1524.19,0.0512093879380133,3,3,41.1581960246073,80.6700642082303,1.84867188917876,0.205750664697589,"AM",52.4451799501155,48.2855506337041,0.0512093879380133,0.000765257641876363,0.0497094829599356,0.0527092929160909
"5","Duke Hardwood",1420.8722387,"Ecosystem",295.160848801008,419.596914754691,5337.3850213,6758.25726,0.236029218397232,4,4,513.01218069027,1005.50387415293,2.76966569641325,0.0695879107807973,"AM",839.193829509381,590.321697602016,0.236029218397232,0.00691290201742533,0.222479930443078,0.249578506351386
"6","Duke Pine",5273.1358865,"Ecosystem",818.688000866704,1903.671844507,18342.423509,23615.5593955,0.252689189764621,4,4,2072.2491487106,4061.60833147277,2.54464377016686,0.084336467618687,"ECM",3807.343689014,1637.37600173341,0.252689189764621,0.00849027590810218,0.236048248984741,0.269330130544501
"7","EucFACE",308,"Ecosystem",430.45317980008,1181.36854537439,7725,8033,0.0390962344078664,3,3,1257.34704039895,2464.40019918194,0.244960213929698,0.829328359870916,NA,2046.19034305218,745.56677769332,0.0390962344078664,0.0247328976214623,-0.00938024493019971,0.0875727137459325
"8","GiFACE",94.4099999999999,"Ecosystem",784.916670840924,586.797587950905,4453.29,4547.7,0.0209784617978193,3,3,980.013055723749,1920.82558921855,0.0963354512968985,0.932038047174413,NA,1016.36323608983,1359.5155536043,0.0209784617978193,0.0477151734025766,-0.0725432780712308,0.114500201666869
"9","Jasper Ridge FACE",296.5,"Ecosystem",128.06121700187,179.047775245184,2129.3,2425.8,0.130368079682427,4,4,220.131281557733,431.457311853157,1.34692351719325,0.270715935018881,NA,358.095550490368,256.12243400374,0.130368079682427,0.00906499283048608,0.112600693734675,0.14813546563018
"10","Merrit Island",692.1,"Ecosystem",377.042703151778,383.901562903826,5023.2,5715.3,0.129079608489599,8,8,538.090707966603,1054.65778761454,1.28621436823428,0.239273932063106,NA,1085.83759374964,1066.43780878212,0.129079608489599,0.0101459659656412,0.109193515196942,0.148965701782256
"11","Nevada FACE",239.445,"Ecosystem",156.143470414232,121.761533581012,1006.582,1246.027,0.21339965625108,3,3,198.006702949673,388.093137781359,1.20927724381563,0.350109324904588,NA,210.897162569817,270.448424027577,0.21339965625108,0.0336121389958308,0.147519863819251,0.279279448682908
"12","New Zealand",80.0514621000002,"Ecosystem",141.35882418607,210.360889798632,3179.3347971,3259.3862592,0.0248669219973158,3,3,253.444315643773,496.750858661795,0.31585424157832,0.782027612707931,NA,364.355749056628,244.84066558847,0.0248669219973158,0.00614226378476783,0.0128280849791708,0.0369057590154607
"13","ORNL",828.214499999998,"Ecosystem",403.99267730806,397.116686021693,14250.512,15078.7265,0.0564920735178591,3,3,566.490728640272,1110.32182813493,1.46200892287846,0.28124216883617,"AM",687.82627672295,699.735842983338,0.0564920735178591,0.00149728192707596,0.0535574009407902,0.059426746094928
"14","PHACE",254.252,"Ecosystem",96.7082268992664,210.347815456329,2777,3031.252,0.0876045271725904,5,5,231.513897244312,453.767238598852,1.09821485028042,0.333775800374832,"AM",470.352014278933,216.246169330233,0.0876045271725904,0.00602815571497818,0.0757893419712332,0.0994197123739477
"15","TasFACE",876.8311111,"Ecosystem",239.140294759739,314.982745289014,4076.2433333,4953.0744444,0.194832671034945,6,6,395.477193283733,775.135298836116,2.21714709720548,0.0774054265157385,NA,771.547003739127,585.771699100125,0.194832671034945,0.00748591549969021,0.180160276655552,0.209505065414338
